sa2_name,z scores_x,z scores_y,z scores_x,z scores_y,z scores
Avoca Beach - Copacabana,-0.10973913399515765,-0.13122818079329823,-0.2634698856725065,-0.5577995165985281,-0.04760684613629177
Box Head - MacMasters Beach,-0.11554094873025297,-0.1312230998628327,0.7556663753903758,-0.5577995165985281,-0.07945617693995814
Calga - Kulnura,-0.08564951398238037,-0.10050795523837788,0.25767933873464927,0.6546587922640361,-0.05266845052294298
Erina - Green Point,-0.09258941187760132,-0.12808929609428443,1.566342946690396,0.41216713049152326,-0.022092136990235735
Gosford - Springfield,-0.09992424057205976,-0.13074732032318673,2.377019517990416,0.6546587922640361,-0.018932343850714444
Kariong,-0.12135718778935932,-0.13225359467728914,-0.9814977059668101,-0.5577995165985281,-0.08996912373587199
Kincumber - Picketts Valley,-0.11161737277295582,-0.1305361740668243,-0.11291566528821709,-0.07281619305350244,-0.061346818506894406
Narara,-0.12639415374268573,-0.13030037859693303,-0.5298350448139417,-0.800291178371041,-0.09021704334055204
Niagara Park - Lisarow,-0.11955007171721097,-0.12819363155464,-0.5414161386896563,-0.800291178371041,-0.09459391426395952
Point Clare - Koolewong,-0.12146347228207195,-0.13145846026394026,-0.08975347753678793,-0.5577995165985281,-0.07717972870545947
Saratoga - Davistown,-0.11636373454752318,-0.13192187127363822,-0.5761594203168,-0.5577995165985281,-0.08835134326465467
Terrigal - North Avoca,-0.11376004417209692,-0.13207432251749734,0.7904096570175196,0.41216713049152326,-0.035846553829331385
Umina - Booker Bay - Patonga,-0.12172047298024027,-0.13361451003414504,2.7476145220132824,0.6546587922640361,-0.09416576708649166
Wamberal - Forresters Beach,-0.11642554737091658,-0.12960056966681882,0.6398554366332302,-0.07281619305350244,-0.04948869775423134
Woy Woy - Blackwall,-0.11752619121913553,-0.13045624964691746,1.7979648242046875,-0.07281619305350244,-0.08933573379245342
Wyoming,-0.11931872314096804,-0.12990557399575434,0.1071251183503598,0.1696754687190104,-0.07602660052299236
Bateau Bay - Killarney Vale,-0.12005883880206437,-0.1328681284723217,1.786383730328973,0.41216713049152326,-0.09099284261197671
Blue Haven - San Remo,-0.1258992116332002,-0.13105366567819282,-0.2750509795482211,-0.5577995165985281,-0.10060018689005369
Budgewoi - Buff Point - Halekulani,-0.1230038782080335,-0.1313710816751281,0.1534494938532181,-0.3153078548260153,-0.09737270171864015
Chittaway Bay - Tumbi Umbi,-0.11646350611831395,-0.13050640009007497,1.8558702935832603,0.1696754687190104,-0.08516797937881977
Gorokan - Kanwal - Charmhaven,-0.12176418547461156,-0.13217153796933442,2.110654358848981,0.41216713049152326,-0.0949782027825486
Jilliby - Yarramalong,-0.11846485110740822,-0.1121967598921647,0.9525449712775236,-0.3153078548260153,-0.08148516516650152
Lake Munmorah - Mannering Park,-0.12454232626176089,-0.13133802456518137,0.6051121550060864,-0.3153078548260153,-0.09781404588777663
Ourimbah - Fountaindale,-0.1004619362180876,-0.12168010840813374,-0.2634698856725065,-0.800291178371041,-0.06429276785604417
Summerland Point - Gwandalan,-0.12319626912247389,-0.1331695644284852,-1.0509842692210976,-0.5577995165985281,-0.09198373315059732
The Entrance,-0.11255347544035121,-0.13147283889547048,0.43139574687036786,0.41216713049152326,-0.08575856117015905
Toukley - Norah Head,-0.11477769821153236,-0.13241370236633102,0.2808415264860784,-0.3153078548260153,-0.07326823229422685
Tuggerah - Kangy Angy,-0.07588564510709979,-0.1250950515909294,0.24609824485893467,-0.5577995165985281,-0.03723650563840892
Warnervale - Wadalba,-0.12076662959300863,-0.1312583670786446,1.7632215425775437,0.41216713049152326,-0.0848407465107781
Wyong,-0.11710121307458979,-0.1304066157559822,0.47772012237322614,0.41216713049152326,-0.08784710000089861
Baulkham Hills - East,-0.11368188910903455,-0.1324098474460491,1.5315996650632522,1.6246254393540875,-0.06537012823559793
Baulkham Hills (West) - Bella Vista,-0.08337850206045994,-0.13139246482123673,1.9485190445889768,0.1696754687190104,0.0912393597759597
Glenhaven,-0.10977413595591565,-0.12674882344488783,-0.020266914282500503,-0.800291178371041,-0.047174431274950974
West Pennant Hills,-0.10498278307653836,-0.12943695304820677,1.0567748161589547,-0.3153078548260153,-0.03198521911777449
Castle Hill - Central,-0.0561480953748717,-0.12765117703974665,-0.5298350448139417,-0.5577995165985281,-0.023277765226812137
Castle Hill - East,-0.11037472325289449,-0.12588536772159567,-0.6224837958196583,-0.3153078548260153,-0.05310500175480677
Castle Hill - North,-0.10057669150495628,-0.13130810317371552,0.16503058772893267,-0.07281619305350244,-0.04117308289947941
Castle Hill - South,-0.10451928679252835,-0.1296682395213954,-0.8309434855825206,-0.800291178371041,-0.03348796909444746
Cherrybrook,-0.11127446543594081,-0.13181163930351075,0.7672474692660904,-0.07281619305350244,-0.0678671172413149
Kellyville - East,-0.11042890437023221,-0.13267494334432509,-0.12449675916393166,0.41216713049152326,-0.05996868489931115
Dural - Kenthurst - Wisemans Ferry,-0.09363623421766842,-0.12723515520795292,6.3377536234848,1.1396421158090617,-0.06736280832088387
Galston - Laughtondale,-0.09614450828911053,-0.11884724418151672,-0.05501019590964422,-0.5577995165985281,-0.07107950137748575
Bilpin - Colo - St Albans,-0.11401728460972249,-0.10542336313082933,-1.3173494283625327,-0.3153078548260153,-0.10522845722191455
Kurrajong Heights - Ebenezer,-0.1146213481288314,-0.13011645232573282,2.2843707669846993,1.1396421158090617,-0.09033870515926819
Pitt Town - McGraths Hill,-0.10604930400867588,-0.12737690922804107,1.3694643508032482,0.1696754687190104,-0.09091346369194013
North Kellyville,-0.1105384653021939,-0.13245435259205254,-0.6109027019439437,-0.800291178371041,-0.07796124010760638
Rouse Hill - Beaumont Hills,-0.10366545471554472,-0.13230341749138322,0.8946395018989507,-0.07281619305350244,-0.06813269849156141
Blacktown (East) - Kings Park,-0.0894332818795266,-0.12832579417477585,0.9062205957746653,0.1696754687190104,-0.02882680476842752
Blacktown (North) - Marayong,-0.11608683547440339,-0.13055375083306273,0.9757071590289528,-0.07281619305350244,-0.08743871548259619
Doonside - Woodcroft,-0.1156732849106531,-0.13137721574779682,0.8251529386446633,0.1696754687190104,-0.08598199083507595
Lalor Park - Kings Langley,-0.10736019936090005,-0.13075290567427889,2.26120857923327,0.6546587922640361,-0.08644775928730061
Blacktown - South,-0.12070094098172308,-0.13181400906950555,-0.7846191100796623,-0.07281619305350244,-0.0914230251463686
Blacktown - West,-0.11669665274048624,-0.13183936628864856,0.33874699586465123,-0.3153078548260153,-0.09727559549636214
Seven Hills - Prospect,-0.10737794008073631,-0.12875660515204415,-0.332956448926794,-0.07281619305350244,-0.0769324656675291
Toongabbie - West,-0.11024110846205573,-0.13104758047023096,-0.5414161386896563,-0.800291178371041,-0.08049644129815485
Glenwood,-0.1076848465425881,-0.13097854645472273,-0.2634698856725065,-0.3153078548260153,-0.07117214294586593
